TenureGroup,用户数,平均订单数,平均App使用时长,流失率,平均返现金额
0-12个月,3552,2.5565878378378377,2.9389076576576576,0.23817567567567569,159.9877224099099
12-24个月,1574,3.644853875476493,2.936467598475222,0.06480304955527319,200.7232528589581
24-36个月,500,3.698,2.894,0.0,225.29074
48-60个月,2,2.5,3.5,0.0,161.5
60个月以上,2,1.5,3.5,0.0,291.25
